date,temperature,pH,O2,NTU,uS
2020-01-09 10,12.6,8.19,13.61,8.5,220.3
2020-01-09 11,12.6,8.14,13.61,8,220.8
2020-01-09 12,12.6,8.14,13.55,7.7,220.2
2020-01-09 13,12.4,8.11,13.75,8.1,220.5
2020-01-09 14,12.4,8.1,13.65,8.4,219.9
2020-01-09 15,12.5,8.09,13.62,8,220.7
2020-01-09 16,12.5,8.08,13.12,7,220.7
2020-01-09 17,12.3,8.06,13.42,7.9,221.3
2020-01-09 18,12.4,8.05,13.57,8,221.3
2020-01-09 19,12.5,8.04,13.3,7.7,221.5
2020-01-09 20,12.6,8.04,13.09,7.1,221
2020-01-09 21,12.3,8.01,13.5,8.5,221.7
2020-01-09 22,12.5,8.01,13.24,7.4,221.6
2020-01-09 23,12.5,8,13.18,7.2,221.7
2020-01-10 00,12.6,7.99,12.73,6.3,221.5
2020-01-10 01,12.4,7.97,13.29,7.8,222.1
2020-01-10 02,12.5,7.97,13.09,6.8,221.9
2020-01-10 03,12.5,7.96,13.29,7.2,221.8
2020-01-10 04,12.6,7.97,12.57,6.1,221.5
2020-01-10 05,12.4,7.95,13.2,7.4,222
2020-01-10 06,12.5,7.95,13.24,7.1,222
2020-01-10 07,12.5,7.94,13.2,7.4,222
2020-01-10 08,12.3,8.08,13.01,7.6,216.3
2020-01-10 09,12,8.1,14.19,10.1,215
2020-01-10 10,12.2,8.12,13.99,10.3,211.8
2020-01-10 11,12.3,8.14,14.16,9.2,209.7
2020-01-10 12,12.3,8.14,13.4,7.2,209.8
2020-01-10 13,12.2,8.1,13.7,8.3,210
2020-01-10 14,12.4,8.1,13.4,8.2,210
2020-01-10 15,12.4,8.09,13.32,8,210.4
2020-01-10 16,12.3,8.08,12.94,6.9,210.7
2020-01-10 17,12.2,8.07,13.31,8,211.2
2020-01-10 18,12.5,8.05,13.15,7.7,211
2020-01-10 19,12.5,8.04,13.07,7.3,211.3
2020-01-10 20,12.4,8.03,12.96,6.9,211.3
2020-01-10 21,12.2,8.02,13.19,7.6,211.5
2020-01-10 22,12.5,8.01,13.29,7.8,211.7
2020-01-10 23,12.5,8.01,13.26,7.9,211.8
2020-01-11 00,12.4,7.99,12.81,6.4,211.7
2020-01-11 01,12.2,7.98,13.48,9,212
2020-01-11 02,12.5,7.97,13,7,211.6
2020-01-11 03,12.5,7.98,12.92,7,211.9
2020-01-11 04,12.4,7.97,12.69,6.3,211.9
2020-01-11 05,12.3,7.95,12.95,6.8,212.4
2020-01-11 06,12.6,7.95,13.13,7.2,212.2
2020-01-11 08,12.5,7.95,12.33,5.6,211.9
2020-01-11 09,12.3,7.94,12.98,6.5,212.4
2020-01-11 10,12.5,7.94,12.71,6.2,212.2
2020-01-11 11,12.6,7.93,12.85,6.9,212.3
2020-01-11 12,12.5,7.93,12.52,6.2,212.2
2020-01-11 13,12.3,7.9,13.35,8.7,212.4
2020-01-11 14,12.5,7.92,12.87,7,212.3
2020-01-11 15,12.5,7.92,12.89,6.9,212.7
2020-01-11 16,12.4,7.91,12.37,6.2,212.1
2020-01-11 17,12.3,7.9,12.72,6.4,212.6
2020-01-11 18,12.4,7.91,12.79,6.8,212.7
2020-01-11 19,12.4,7.9,12.81,6.9,212.4
